"TIME","TEMP_P","TEMP_H","PRESS","HUMID","AccX","AccY","AccZ","GyrX","GyrY","GyrZ","MagX","MagY","MagZ"
1521044702.61, 35.3875007629, 38.2064704895, 1045.83618164, -9.01511001587, -0.16834191978, 0.927467644215, 0.342881470919, 0.0139766670763, 0.00950710847974, 0.000964216887951, -9.79026222229, 3.89402747154, -21.8256206512
1521044704.7, 35.4520835876, 38.3497047424, 1045.80737305, -9.26399993896, -0.171550780535, 0.926982045174, 0.341906696558, 0.011516507715, 0.00967152789235, 0.000330787152052, -10.077413559, 3.72031235695, -21.8465309143
1521044706.8, 35.5437507629, 38.3676071167, 1045.81689453, -10.0106658936, -0.170563444495, 0.927467644215, 0.343612581491, 0.0105699673295, 0.00625919923186, -0.000261232256889, -10.2518186569, 3.43285369873, -21.8271827698
1521044708.86, 35.5041656494, 38.3855133057, 1045.65551758, -10.023109436, -0.169576078653, 0.926739215851, 0.343856245279, 0.0127288661897, 0.00859673693776, -0.000243235379457, -10.1812992096, 3.84373402596, -21.3797950745
1521044710.95, 35.6416664124, 38.6182632446, 1045.62475586, -10.1351089478, -0.16982293129, 0.926739215851, 0.343368858099, 0.00981029495597, 0.00640843063593, -0.00113207288086, -10.0694742203, 3.73104166985, -22.2136955261
1521044713.04, 35.7562484741, 38.6361694336, 1045.69360352, -9.87688827515, -0.171303927898, 0.927467644215, 0.341419279575, 0.00748217850924, 0.00551022589207, -0.000154862180352, -9.86071777344, 3.61535096169, -22.0984210968
1521044715.13, 35.8541679382, 38.7256889343, 1045.73364258, -9.84266662598, -0.170563444495, 0.927953183651, 0.343125164509, 0.00830780342221, 0.0063684284687, -0.000167204067111, -9.86446666718, 3.69831371307, -22.3055591583
1521044717.22, 35.9291687012, 38.8868255615, 1045.72412109, -9.93600082397, -0.173031792045, 0.927953183651, 0.339957088232, 0.0061142295599, 0.00399081408978, -0.000143941491842, -9.70103359222, 3.50120449066, -22.4699993134
1521044719.31, 36.0562515259, 38.8689193726, 1045.60449219, -9.72133255005, -0.172044441104, 0.926982045174, 0.341419279575, 0.00695224478841, 0.00677079707384, -0.00104771181941, -9.76285934448, 3.5341899395, -22.1676006317
1521044721.4, 36.0499992371, 38.9942512512, 1045.58422852, -10.3653335571, -0.172538116574, 0.929167211056, 0.343612581491, 0.00448999553919, 0.00616989284754, -0.00100073032081, -9.76183128357, 3.57529211044, -22.5563278198
1521044723.5, 36.2020835876, 39.083770752, 1045.56787109, -10.931552887, -0.170069769025, 0.928438842297, 0.343368858099, 0.00603394210339, 0.00294570997357, -0.0021824259311, -9.64964771271, 3.6044895649, -22.3479671478
1521044725.56, 36.3062515259, 39.2090988159, 1045.71899414, -10.7044448853, -0.171057105064, 0.927710413933, 0.341662973166, 0.00691084191203, 0.00394568964839, -0.000632787123322, -9.87604141235, 3.75325679779, -21.6166229248
1521044727.65, 36.3791656494, 39.3523330688, 1045.73071289, -10.8257751465, -0.169329255819, 0.927953183651, 0.343856245279, 0.00481176748872, 0.00345969945192, -0.000916514545679, -9.72945785522, 3.73604989052, -22.0139656067
1521044729.74, 36.4729156494, 39.4239501953, 1045.7644043, -11.2239990234, -0.171303927898, 0.928196012974, 0.341906696558, 0.00401247665286, 0.00270742550492, -0.000910775735974, -9.93368530273, 3.97326827049, -22.3929824829
1521044731.83, 36.6145820618, 39.7283172607, 1045.69067383, -10.3155555725, -0.170563444495, 0.927953183651, 0.342394053936, 0.00533960014582, 0.00351430103183, -0.001191155985, -10.0067033768, 3.7162168026, -22.8694000244
1521044733.91, 36.71875, 39.6567001343, 1045.64526367, -11.0684432983, -0.172044441104, 0.927467644215, 0.339713394642, 0.0021166279912, 0.00214913487434, -0.000852074474096, -9.82368659973, 3.73343729973, -22.7116470337
1521044736.0, 36.7916679382, 39.7820281982, 1045.65283203, -11.1555557251, -0.170069769025, 0.92868155241, 0.342394053936, 0.00289307907224, 0.00229805335402, -0.000494476407766, -10.0023813248, 3.86901640892, -22.5434627533
1521044738.07, 36.8729171753, 39.9252624512, 1045.64892578, -11.7280006409, -0.170069769025, 0.929409980774, 0.342394053936, 0.00159875303507, 0.00132377073169, -0.00134083069861, -9.42878627777, 3.84056401253, -22.0011940002
1521044740.15, 37.0, 39.9610710144, 1045.50952148, -11.9426651001, -0.170316591859, 0.927710413933, 0.340688198805, 0.00207491964102, 0.000622469931841, -0.00190506875515, -9.33852577209, 4.04478263855, -22.4797153473
1521044742.25, 37.1645812988, 40.1401138306, 1046.10961914, -4.98310852051, -0.168835580349, 0.929409980774, 0.339469730854, 0.017746001482, 0.00112180411816, -0.000639449805021, -9.49681472778, 3.7385571003, -23.050567627
1521044744.34, 37.15625, 40.1580162048, 1045.50048828, -11.4231109619, -0.170810267329, 0.928438842297, 0.341662973166, -0.00100960955024, -0.000720132142305, -0.000287599861622, -9.65338993073, 3.86856174469, -23.0103054047
1521044746.43, 37.1166687012, 40.1043014526, 1045.49267578, -11.8680000305, -0.170810267329, 0.931595087051, 0.340444505215, -5.37000596523e-05, 0.00201330333948, -0.00150952860713, -9.48445892334, 3.7288312912, -23.0543346405
1521044748.52, 37.1624984741, 40.1222076416, 1045.36914062, -12.1604423523, -0.170316591859, 0.929409980774, 0.342150390148, -3.0767172575e-05, 0.00106768682599, -0.0014794357121, -9.30099487305, 3.74516105652, -23.2260494232
1521044750.61, 37.2874984741, 40.3370552063, 1045.39550781, -11.8151092529, -0.170069769025, 0.930623948574, 0.339713394642, 0.000556129962206, -0.000121850520372, -0.000545227900147, -9.36113071442, 3.84399652481, -23.2731781006
1521044752.71, 37.4249992371, 40.444480896, 1045.52685547, -11.8959999084, -0.170810267329, 0.929409980774, 0.341175585985, 0.00142474845052, 0.00104047730565, -0.00108876824379, -9.52412796021, 3.90576386452, -22.7194957733
1521044754.8, 37.5374984741, 40.4981918335, 1045.48388672, -12.2444419861, -0.165133044124, 0.988408565521, 0.324116796255, -0.0153671875596, -0.0108683481812, 0.000772392377257, -9.58131313324, 3.91398334503, -22.4261112213
1521044756.89, 37.5687484741, 40.5160980225, 1045.56103516, -12.3533325195, -0.167848229408, 0.929895579815, 0.339957088232, -0.00105913355947, 0.00180533900857, -0.000781944021583, -9.32922172546, 3.56794238091, -22.6634864807
1521044758.95, 37.6354179382, 40.6414260864, 1045.44311523, -12.4435539246, -0.171303927898, 0.929652750492, 0.338982313871, -0.00278352573514, -0.00184721499681, -0.0022896733135, -9.62751197815, 3.77362036705, -22.5575733185
1521044761.05, 37.7291679382, 40.7667541504, 1045.47509766, -12.1355552673, -0.17229129374, 0.930623948574, 0.344099938869, -0.00272509455681, -0.000914197415113, -0.00102517567575, -9.59245586395, 3.93334817886, -22.7576332092
1521044763.15, 37.8187484741, 40.7846603394, 1045.54345703, -12.8355560303, -0.171057105064, 0.929652750492, 0.340200811625, -0.000567711889744, 1.70506536961e-05, -0.00156998820603, -9.49016284943, 3.82273983955, -22.7130069733
1521044765.24, 37.7958335876, 40.6951370239, 1045.48120117, -12.9817771912, -0.171057105064, 0.930381178856, 0.340931892395, -0.00170063972473, -0.000559411942959, -0.000921580940485, -9.64697360992, 3.803201437, -22.9124298096
1521044767.33, 37.8562507629, 40.9099884033, 1045.49804688, -12.8759994507, -0.17179761827, 0.930623948574, 0.340688198805, -0.00135109946132, -0.00112723186612, -0.000890947878361, -9.74722671509, 3.92928361893, -22.900062561
1521044769.42, 37.9520835876, 40.9099884033, 1045.51733398, -12.667552948, -0.170810267329, 0.931352317333, 0.340931892395, -0.00211032480001, -0.00163661316037, -0.000821711495519, -9.68257904053, 3.8944811821, -23.0893726349
1521044771.51, 38.0250015259, 41.2322616577, 1045.52319336, -9.59999847412, -0.170069769025, 0.929895579815, 0.340444505215, -0.0026362426579, -0.00308733060956, -0.000815879553556, -9.84622955322, 3.9307384491, -23.2017478943
1521044773.61, 38.1375007629, 41.1069335938, 1045.50805664, -13.2959976196, -0.170316591859, 0.930866718292, 0.340444505215, -0.00426645576954, -0.000571489334106, 0.000430645421147, -9.60577964783, 3.66209459305, -23.3882389069
1521044775.69, 38.1979179382, 41.2143554688, 1045.51538086, -11.2395553589, -0.171550780535, 0.870411396027, 0.338494926691, -0.00355821847916, -0.0023431442678, -0.00137838721275, -9.0905046463, 3.46218442917, -23.0940151215
1521044777.79, 38.3020820618, 41.3396835327, 1045.44189453, -12.9942207336, -0.17229129374, 0.932080686092, 0.339713394642, -0.0022636577487, -0.002580486238, -0.00103214383125, -9.3151140213, 3.52577495575, -23.065404892
1521044779.88, 38.4041671753, 41.2859725952, 1045.50048828, -13.0906639099, -0.171057105064, 0.930623948574, 0.339957088232, -0.0038077943027, -0.00154660642147, -0.00128589197993, -9.38045692444, 3.78389525414, -23.1111717224
1521044781.97, 38.4749984741, 41.5008201599, 1045.57446289, -12.9911117554, -0.17179761827, 0.929652750492, 0.336301654577, -0.000996731221676, -0.000313732773066, 0.000274391844869, -8.97458362579, 3.64052176476, -23.1345710754
1521044784.06, 38.5520820618, 41.4650115967, 1045.57299805, -13.4111099243, -0.17179761827, 0.931595087051, 0.340444505215, -0.00447588041425, -0.00297572091222, -0.00182129070163, -9.00481414795, 3.8667755127, -22.7141914368
1521044786.15, 38.3854179382, 41.3754920959, 1045.56933594, -13.3893318176, -0.171303927898, 0.930623948574, 0.340200811625, -0.00192139670253, -0.00224769487977, 2.57156789303e-05, -9.12697505951, 4.01155471802, -23.5463314056
1521044788.24, 38.4333343506, 41.4650115967, 1045.51269531, -13.8466644287, -0.169576078653, 0.930866718292, 0.340931892395, -0.00296231731772, 0.000536322593689, -0.000861573964357, -8.91561412811, 3.95921063423, -23.2931804657
1521044790.33, 38.5041656494, 41.4471092224, 1045.62402344, -12.9786643982, -0.172044441104, 0.931352317333, 0.342394053936, -0.00671421736479, -0.00151194632053, -0.00172497704625, -8.91522407532, 3.83977437019, -23.7491035461
1521044792.39, 38.5916671753, 41.5008201599, 1045.6809082, -11.9768867493, -0.16982293129, 0.931109547615, 0.339226037264, -0.00316316261888, -0.0023126527667, 0.00104817934334, -9.22824001312, 4.43127059937, -23.3376979828
1521044794.48, 38.75, 41.8409957886, 1045.77587891, -13.921333313, -0.169329255819, 0.930866718292, 0.339713394642, -0.0035865791142, -0.0016022734344, -0.00193680077791, -9.37240028381, 4.27221059799, -23.4841632843
